MUNICIPIO;IDYEAR;IDMUNICIPIO;IDFILA;INT;PARTINT;PORC_VALVOT;BANC_GAN;PORC_BANGAN;BANCAS;BANCASMT;PORC_BANCASMT;CONTROL_SUC;INTERRUP
AGUARAY;1987;1;11987;TEJERINA DE SALVATIERRA, GLORIA DELMA;PJ;;3;0,5;6;;;1;0
AGUARAY;1991;1;11991;GIL, JOSE OSCAR;PJ;0,5538;4;0,667;6;5;0,833;2;0
AGUARAY;1995;1;11995;GIL, JOSE OSCAR;PJ;0,6672;5;0,714;7;4;0,571;1;0
AGUARAY;1999;1;11999;MONTEROS, NORMAN DOMINGO;PJ;0,6141;4;0,571;7;4;0,571;0;0
AGUARAY;2003;1;12003;ALCOBA, JUAN CARLOS;AMDC;0,4621;4;0,571;7;4;0,571;2;0
AGUARAY;2007;1;12007;ALCOBA, JUAN CARLOS;AMDC;0,5048;3;0,429;7;4;0,571;2;0
AGUARAY;2011;1;12011;ALCOBA, JUAN CARLOS;AMDC;0,5019;4;0,571;7;4;0,571;0;0
AGUARAY;2015;1;12015;DAROUICHE, ALFREDO NADIM;FRO;0,4518;2;0,286;7;1;0,143;0;0
AGUARAY;2019;1;12019;PRADO, JORGE ENRIQUE;PV;0,4489;3;0,429;7;;;;0
ANGASTACO;1987;2;21987;RIVADENEIRA, WASHINGTON SEGUNDO;PJ;;2;0,5;4;;;2;0
ANGASTACO;1991;2;21991;RIVADENEIRA, WASHINGTON SEGUNDO;PJ;0,672;3;0,75;4;2;0,5;0;0
ANGASTACO;1995;2;21995;DIAZ, EDUARDO RAMON;PRS;0,6208;3;0,75;4;1;0,25;2;0
ANGASTACO;1999;2;21999;DIAZ, EDUARDO RAMON;PJ;0,9068;3;1;3;3;1;2;0
ANGASTACO;2003;2;22003;CHAUQUI, JUAN HORACIO;PJ;0,3957;1;0,333;3;3;1;1;0
ANGASTACO;2007;2;22007;DIAZ, EDUARDO RAMON;MRP;0,4177;2;0,667;3;3;1;2;0
ANGASTACO;2011;2;22011;DIAZ, EDUARDO RAMON;PJ;0,5761;2;0,667;3;1;0,333;2;0
ANGASTACO;2015;2;22015;DIAZ, EDUARDO RAMON;PJ;0,4919;2;0,667;3;2;0,667;1;0
ANGASTACO;2019;2;22019;RIOS, CARLOS ERNESTO;PJ;0,7142;3;1;3;;;;0
ANIMANA;1987;3;31987;VILLOLDO, CARLOS JOAQUIN;PJ;;2;0,667;3;;;1;0
ANIMANA;1991;3;31991;DOLINSKI, BASILIO;PJ;0,4833;2;0,667;3;1;0,333;1;0
ANIMANA;1995;3;31995;CARDOZO, ROSA EMILIO;PJ;0,4953;2;0,667;3;2;0,667;1;0
ANIMANA;1999;3;31999;CONDORI, IGNACIO VICENTE;PJ;0,6919;2;0,667;3;3;1;2;0
ANIMANA;2003;3;32003;CONDORI, IGNACIO VICENTE;PJ;0,4908;2;0,667;3;2;0,667;2;0
ANIMANA;2007;3;32007;CONDORI, IGNACIO VICENTE;PJ;0,5252;2;0,667;3;2;0,667;2;0
ANIMANA;2011;3;32011;CONDORI, IGNACIO VICENTE;PJ;0,5621;2;0,667;3;2;0,667;0;0
ANIMANA;2015;3;32015;GUAIMAS, JOSE ROLANDO;FRO;0,4823;1;0,333;3;2;0,667;2;0
ANIMANA;2019;3;32019;GUAIMAS, JOSE ROLANDO;PJ;0,7095;2;0,667;3;;;;0
APOLINARIO SARAVIA;1987;4;41987;REVIRIEGO TALLO, VICTOR MIGUEL;PJ;;3;0,5;6;3;0,5;0;0
APOLINARIO SARAVIA;1991;4;41991;CABRERA, SAMUEL EDUARDO;PRS;0,5321;3;0,5;6;3;0,5;2;0
APOLINARIO SARAVIA;1995;4;41995;CABRERA, SAMUEL EDUARDO;PRS;0,5422;3;0,5;6;3;0,5;0;0
APOLINARIO SARAVIA;1999;4;41999;GOMEZ, ERNESTO ANGEL;PJ;0,5923;3;0,6;5;3;0,6;0;0
APOLINARIO SARAVIA;2003;4;42003;CABRERA, SAMUEL EDUARDO;AVA;0,5279;3;0,6;5;2;0,4;2;0
APOLINARIO SARAVIA;2007;4;42007;CABRERA, SAMUEL EDUARDO;AVA;0,3094;3;0,6;5;1;0,2;2;0
APOLINARIO SARAVIA;2011;4;42011;CABRERA, SAMUEL EDUARDO;AVA;0,4812;4;0,8;5;1;0,2;0;0
APOLINARIO SARAVIA;2015;4;42015;MOISES, MARCELO DANIEL;PJ;0,6795;3;0,6;5;4;0,8;2;0
